Ticker,Date,Action,Price,Shares,Capital,Shares Sold,Profit/Loss
LCID,2024-11-12,Buy,2.14,93.0,0.98,,
LCID,2024-11-13,Sell,2.18,,203.72,93.0,3.72
LCID,2024-11-15,Buy,2.01,101.0,0.71,,
LCID,2024-11-18,Sell,2.14,,216.85,101.0,13.13
LCID,2024-11-20,Buy,2.03,106.0,1.67,,
LCID,2024-11-25,Sell,2.17,,231.69,106.0,14.84
LCID,2024-11-26,Buy,2.135,108.0,1.11,,
LCID,2024-11-29,Sell,2.18,,236.55,108.0,4.86
,,,,,,,36.55002737045288
